video_name,video_class,action_ids,num_clips,clips,train,num_actions
4MiubN1oQkg,ArcWeld,"[587, 585, 587]",1,"[[0, 3]]",False,3.0
cam-KNnddec,ArcWeld,"[585, 586, 587]",1,"[[0, 3]]",True,3.0
93BfbHOEKSM,ArcWeld,"[586, 587, 586, 586, 587]",2,"[[0, 2], [2, 5]]",True,5.0
vLuJs2Twi8c,ArcWeld,"[587, 587, 588]",1,"[[0, 3]]",True,3.0
5OPRXoHzAg0,ArcWeld,"[587, 588]",1,"[[0, 2]]",True,2.0
uHARk4xQLTc,ArcWeld,"[585, 586, 587]",1,"[[0, 3]]",True,3.0
oL7ER8u_H3g,ArcWeld,"[587, 586, 587]",1,"[[0, 3]]",True,3.0
8j-i7NFqlpk,ArcWeld,"[587, 585, 587]",1,"[[0, 3]]",True,3.0
Vl51i8DoPg8,ArcWeld,"[586, 586, 587]",1,"[[0, 3]]",True,3.0
B_J_TDWDIVE,ArcWeld,"[587, 588, 586, 587]",1,"[[0, 4]]",True,4.0
fV6kDpBWU48,ArcWeld,"[586, 587, 588, 586, 587, 586, 587]",3,"[[0, 3], [3, 5], [5, 7]]",True,7.0
MVrI2kuRKdA,ArcWeld,"[587, 586, 587, 587, 587]",1,"[[0, 5]]",True,5.0
27qzKFxo1WQ,ArcWeld,"[587, 588, 587]",1,"[[0, 3]]",True,3.0
G3d98rj9xtM,ArcWeld,"[587, 588, 587]",1,"[[0, 3]]",True,3.0
2z4uRq70wyk,ArcWeld,"[587, 587, 588]",1,"[[0, 3]]",True,3.0
OCdmlTxq1Co,ArcWeld,"[588, 587, 587, 587]",1,"[[0, 4]]",True,4.0
Q-L3FUbrBTA,ArcWeld,"[587, 588]",1,"[[0, 2]]",True,2.0
PIyPYCX90es,ArcWeld,"[586, 585, 586, 587, 588]",1,"[[0, 5]]",True,5.0
XdrVwsQIgao,ArcWeld,"[585, 587]",1,"[[0, 2]]",True,2.0
2GJLNQs4Az8,ArcWeld,"[585, 587, 587]",1,"[[0, 3]]",True,3.0
M3DQsXdYSDU,ArcWeld,"[585, 587, 585, 587, 588]",1,"[[0, 5]]",True,5.0
cUk96amBx44,ArcWeld,"[586, 587, 587, 587]",1,"[[0, 4]]",False,4.0
xe2-FH6VgSQ,ArcWeld,"[587, 588, 587, 587, 587]",1,"[[0, 5]]",False,5.0
WebWWFKJ4b0,ArcWeld,"[585, 587, 588]",1,"[[0, 3]]",False,3.0
cdLH2Ue3uAE,ArcWeld,"[585, 586, 587, 588, 587, 585, 587, 588]",2,"[[0, 5], [5, 8]]",True,8.0
I1P5GuVHFQA,ArcWeld,"[586, 585, 587, 588]",1,"[[0, 4]]",False,4.0
JzH4gNWYlfs,ArcWeld,"[585, 587]",1,"[[0, 2]]",True,2.0
beDRGgQc-k0,ArcWeld,"[587, 588]",1,"[[0, 2]]",True,2.0
MwH1Gi5wfTk,ArcWeld,"[586, 587, 586, 587]",2,"[[0, 2], [2, 4]]",True,4.0
zciJgT1XNvk,ArcWeld,"[585, 587, 587]",1,"[[0, 3]]",True,3.0
apxSeTdsdqs,ArcWeld,"[587, 587, 588]",1,"[[0, 3]]",True,3.0
cMndipw7_As,ArcWeld,"[587, 587, 588, 587, 588]",2,"[[0, 3], [3, 5]]",True,5.0
wC1lkBDak2I,ArcWeld,"[588, 587]",1,"[[0, 2]]",True,2.0
CoHVA7nr82A,ArcWeld,"[585, 586, 587, 588]",1,"[[0, 4]]",True,4.0
jxgBKFK0368,ArcWeld,"[585, 586, 587]",1,"[[0, 3]]",True,3.0
QKYP-USDVp8,ArcWeld,"[587, 585, 587, 587, 588]",1,"[[0, 5]]",True,5.0
0UcBldDI0RA,ArcWeld,"[585, 586, 587, 588]",1,"[[0, 4]]",True,4.0
XQaaA2UZYh8,ArcWeld,"[587, 587, 585, 587]",2,"[[0, 2], [2, 4]]",True,4.0
uPeHNJYHWrI,ArcWeld,"[585, 586, 586, 587, 587]",1,"[[0, 5]]",True,5.0
KOSEqO_vw_g,ArcWeld,"[587, 585, 587]",1,"[[0, 3]]",True,3.0
5ySw2dvWi3U,ArcWeld,"[587, 588]",1,"[[0, 2]]",True,2.0
b4gt1eXYU34,ArcWeld,"[585, 587, 588]",1,"[[0, 3]]",True,3.0
7fNtFc3JkPU,AssembleBed,"[560, 559, 565]",1,"[[0, 3]]",False,3.0
c1lGp__Ac_0,AssembleBed,"[564, 560, 561, 559, 561, 559, 565]",2,"[[0, 5], [5, 7]]",True,7.0
u56u6oLtjdQ,AssembleBed,"[560, 559]",1,"[[0, 2]]",True,2.0
9QLu81pmous,AssembleBed,"[564, 560, 565]",1,"[[0, 3]]",True,3.0
0YuOCH_fdvI,AssembleBed,"[560, 564, 559]",1,"[[0, 3]]",True,3.0
ibvgn_3pl9U,AssembleBed,"[560, 564, 559, 565]",1,"[[0, 4]]",True,4.0
7vXm_x2UrDA,AssembleBed,"[560, 564, 560, 559, 565]",1,"[[0, 5]]",True,5.0
gJx5qb0GXso,AssembleBed,"[559, 560, 560]",1,"[[0, 3]]",True,3.0
JnPgFaUriXk,AssembleBed,"[564, 565]",1,"[[0, 2]]",True,2.0
7mH1d2KYJmU,AssembleBed,"[559, 565]",1,"[[0, 2]]",True,2.0
qYqQKksNI-o,AssembleBed,"[564, 560, 564, 559, 565]",1,"[[0, 5]]",True,5.0
jW0lZeFOmkk,AssembleBed,"[560, 559]",1,"[[0, 2]]",True,2.0
Zs6q2nLqNUs,AssembleBed,"[564, 559, 565]",1,"[[0, 3]]",True,3.0
HJ7dZJ1Facc,AssembleBed,"[559, 565, 565]",1,"[[0, 3]]",True,3.0
O8N9AXaAtvI,AssembleBed,"[560, 562, 559]",1,"[[0, 3]]",True,3.0
cjTBgZCdklM,AssembleBed,"[559, 565]",1,"[[0, 2]]",True,2.0
NjNhSNUSqP0,AssembleBed,"[559, 565]",1,"[[0, 2]]",True,2.0
tKSax7cqV18,AssembleBed,"[560, 564, 559, 565]",1,"[[0, 4]]",True,4.0
CKffaXfoalk,AssembleBed,"[561, 559, 563]",1,"[[0, 3]]",True,3.0
5mtIyEGkxh4,AssembleBed,"[561, 559]",1,"[[0, 2]]",True,2.0
qlthIiZ7YOo,AssembleBed,"[564, 559, 565]",1,"[[0, 3]]",True,3.0
cM5n1M6Z7o4,AssembleBed,"[560, 559]",1,"[[0, 2]]",True,2.0
Sereo2evK6E,AssembleBed,"[560, 561, 559, 565]",1,"[[0, 4]]",True,4.0
btIvifXE7iQ,AssembleBed,"[564, 560, 565]",1,"[[0, 3]]",True,3.0
XAYewYkAr-M,AssembleBed,"[560, 559, 565]",1,"[[0, 3]]",True,3.0
gCkismvSdnY,AssembleBed,"[560, 560, 559]",1,"[[0, 3]]",True,3.0
5hy6NUoPcSU,AssembleBed,"[560, 564, 565]",1,"[[0, 3]]",True,3.0
XlS9YHOgbg8,AssembleBed,"[564, 560, 559, 565]",1,"[[0, 4]]",True,4.0
ruXxxPr3J50,AssembleBed,"[560, 561, 560]",1,"[[0, 3]]",True,3.0
aKx6NZs9bpA,AssembleBed,"[564, 560, 559]",1,"[[0, 3]]",True,3.0
xKzEOb6xJPs,AssembleBed,"[560, 559]",1,"[[0, 2]]",False,2.0
QEjTNvMZet0,AssembleBed,"[560, 560, 559, 560, 565]",1,"[[0, 5]]",False,5.0
OsuyG7ip2Js,AssembleBed,"[562, 559]",1,"[[0, 2]]",False,2.0
80oOv72CWsM,AssembleBed,"[565, 560, 564, 559, 565]",1,"[[0, 5]]",False,5.0
3KegTD8B-_0,AssembleBed,"[562, 560, 559, 565]",1,"[[0, 4]]",False,4.0
23PUpu2n0bk,AssembleBed,"[560, 559]",1,"[[0, 2]]",True,2.0
Xw4e4TnDULo,AssembleBed,"[559, 564, 560]",1,"[[0, 3]]",True,3.0
g-xvp76H0B4,AssembleBed,"[562, 565]",1,"[[0, 2]]",True,2.0
liuX3WIflK8,AssembleBed,"[560, 559]",1,"[[0, 2]]",True,2.0
SlVQ1xn3Zko,AssembleBed,"[560, 564]",1,"[[0, 2]]",True,2.0
oy8wgj_QstA,AssembleBed,"[559, 564, 564]",1,"[[0, 3]]",True,3.0
7n718jx4UjM,AssembleBed,"[560, 559]",1,"[[0, 2]]",True,2.0
fqTCNtQ87xE,AssembleBed,"[560, 560, 564, 561, 565]",1,"[[0, 5]]",True,5.0
wKo1-YH0fhw,AssembleBed,"[560, 559]",1,"[[0, 2]]",True,2.0
LFpYloCY7ZM,AssembleBed,"[559, 560, 565]",1,"[[0, 3]]",True,3.0
hrcblgAZesE,AssembleBed,"[564, 560, 559, 565]",1,"[[0, 4]]",True,4.0
CtVhc09PXt8,AssembleBed,"[564, 560, 559, 565]",1,"[[0, 4]]",True,4.0
7aShaoOZ9No,AssembleBed,"[561, 559]",1,"[[0, 2]]",True,2.0
Q1KLG-4reb8,AssembleBed,"[564, 560, 559, 565]",1,"[[0, 4]]",True,4.0
4XGM00Ak3ew,AssembleBed,"[560, 561, 560, 565]",1,"[[0, 4]]",True,4.0
YRZQ4-2NuBM,AssembleBed,"[560, 559]",1,"[[0, 2]]",True,2.0
7-n7wAlW4KU,AssembleBed,"[560, 560, 563, 559]",1,"[[0, 4]]",True,4.0
2DV6cNFLUVA,AssembleBed,"[560, 559]",1,"[[0, 2]]",True,2.0
AlUVHdaNrW4,AssembleBed,"[560, 559, 563]",1,"[[0, 3]]",True,3.0
OpYXQv-flFo,AssembleBed,"[564, 559]",1,"[[0, 2]]",True,2.0
u3vtLgYPOxw,AssembleBed,"[562, 565]",1,"[[0, 2]]",True,2.0
zZq5K451OB8,AssembleCabinet,"[612, 614, 613]",1,"[[0, 3]]",False,3.0
5KF87CKPpn0,AssembleCabinet,"[612, 613, 613]",1,"[[0, 3]]",True,3.0
jRZTCw64OXM,AssembleCabinet,"[614, 613]",1,"[[0, 2]]",True,2.0
ZGCnERtgUtU,AssembleCabinet,"[614, 613, 614]",1,"[[0, 3]]",True,3.0
CsOQ_jI1wD8,AssembleCabinet,"[612, 613]",1,"[[0, 2]]",True,2.0
TQ8B_57HoRI,AssembleCabinet,"[612, 613]",1,"[[0, 2]]",True,2.0
4wkxJSj_qf8,AssembleCabinet,"[612, 612, 614, 613, 614, 614, 613, 614, 612]",2,"[[0, 5], [5, 9]]",True,9.0
MgnlldG7mgM,AssembleCabinet,"[612, 614]",1,"[[0, 2]]",True,2.0
OyGPn0RdYiw,AssembleCabinet,"[612, 613]",1,"[[0, 2]]",True,2.0
mtdxJ0HHj4s,AssembleCabinet,"[612, 612, 612, 613, 614, 614]",1,"[[0, 5]]",True,6.0
zYUo59uj4Bw,AssembleCabinet,"[612, 613]",1,"[[0, 2]]",True,2.0
tkuaU5NVDQ0,AssembleCabinet,"[613, 614]",1,"[[0, 2]]",True,2.0
b2RFa6i8EjM,AssembleCabinet,"[612, 613]",1,"[[0, 2]]",True,2.0
QauQpxsS-2U,AssembleCabinet,"[612, 613]",1,"[[0, 2]]",True,2.0
kYCZ2Qr0pdc,AssembleCabinet,"[614, 612]",1,"[[0, 2]]",True,2.0
DNaR6gR9Txc,AssembleCabinet,"[612, 614, 613, 613, 612]",1,"[[0, 5]]",True,5.0
fqvlnjZwTEY,AssembleCabinet,"[614, 612, 613, 612]",1,"[[0, 4]]",True,4.0
rC6-VuQ-3hA,AssembleCabinet,"[612, 614]",1,"[[0, 2]]",True,2.0
ac1VUY0wFkg,AssembleCabinet,"[612, 613, 613]",1,"[[0, 3]]",True,3.0
Rm4GSe-6hNc,AssembleCabinet,"[612, 613]",1,"[[0, 2]]",True,2.0
MKBcbI1M1eE,AssembleCabinet,"[612, 613]",1,"[[0, 2]]",True,2.0
kwc-9mFSmm0,AssembleCabinet,"[612, 614, 612]",1,"[[0, 3]]",True,3.0
wUzdEmij5O8,AssembleCabinet,"[612, 613]",1,"[[0, 2]]",True,2.0
UML9pfjeRzs,AssembleCabinet,"[612, 614]",1,"[[0, 2]]",True,2.0
IOhDL4EVWIc,AssembleCabinet,"[612, 613]",1,"[[0, 2]]",False,2.0
v5iyykGWp6E,AssembleCabinet,"[612, 614]",1,"[[0, 2]]",False,2.0
GoJfXL95D2Y,AssembleCabinet,"[612, 613]",1,"[[0, 2]]",False,2.0
qXI804o6OCY,AssembleCabinet,"[614, 613, 614]",1,"[[0, 3]]",False,3.0
lIDwYymaxXc,AssembleCabinet,"[612, 614]",1,"[[0, 2]]",True,2.0
aBywINg8JB4,AssembleCabinet,"[612, 613]",1,"[[0, 2]]",True,2.0
5FH9cGFPWZw,AssembleCabinet,"[612, 613]",1,"[[0, 2]]",True,2.0
